Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score;Time estimated
7;5;Greedy;[7, 6, 31, 1, 2];[1.0, 0.9900332225913622, 0.03322259136212625, 0.0, 0.0];[0, 2, 0, None, None]
8;2;Greedy;[9, 8];[1.0, 0.9933554817275747];[0, 1]
8;3;Greedy;[9, 8, 10];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
8;4;Greedy;[9, 8, 10, 7];[1.0, 0.9933554817275747, 0.9933554817275747, 0.920265780730897];[0, 1, 1, 23]
8;5;Greedy;[9, 8, 10, 7, 26];[1.0, 0.9933554817275747, 0.9933554817275747, 0.920265780730897, 0.009966777408637873];[0, 1, 1, 23, 0]
9;2;Greedy;[11, 39];[1.0, 0.9966777408637874];[0, 0]
9;3;Greedy;[11, 39, 1];[1.0, 0.9966777408637874, 0.0];[0, 0, None]
9;4;Greedy;[11, 39, 1, 2];[1.0, 0.9966777408637874, 0.0, 0.0];[0, 0, None, None]
9;5;Greedy;[11, 39, 1, 2, 3];[1.0, 0.9966777408637874, 0.0, 0.0, 0.0];[0, 0, None, None, None]
10;2;Greedy;[21, 16];[1.0, 0.9933554817275747];[0, 1]
10;3;Greedy;[21, 16, 20];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
10;4;Greedy;[21, 16, 20, 22];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1]
10;5;Greedy;[21, 16, 20, 22, 40];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1, 1]
11;2;Greedy;[27, 4];[1.0, 0.9933554817275747];[0, 1]
11;3;Greedy;[27, 4, 17];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
11;4;Greedy;[27, 4, 17, 28];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1]
11;5;Greedy;[27, 4, 17, 28, 29];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747, 0.9900332225913622];[0, 1, 1, 1, 2]
12;2;Greedy;[5, 19];[1.0, 0.9966666666666667];[1, 1]
12;3;Greedy;[5, 19, 41];[1.0, 0.9966666666666667, 0.9966666666666667];[1, 1, 1]
12;4;Greedy;[5, 19, 41, 32];[1.0, 0.9966666666666667, 0.9966666666666667, 0.9866666666666667];[1, 1, 1, 4]
12;5;Greedy;[5, 19, 41, 32, 18];[1.0, 0.9966666666666667, 0.9966666666666667, 0.9866666666666667, 0.01];[1, 1, 1, 4, 0]
13;2;Greedy;[32, 41];[1.0, 0.013289036544850499];[0, 0]
13;3;Greedy;[32, 41, 1];[1.0, 0.013289036544850499, 0.0];[0, 0, None]
13;4;Greedy;[32, 41, 1, 2];[1.0, 0.013289036544850499, 0.0, 0.0];[0, 0, None, None]
13;5;Greedy;[32, 41, 1, 2, 3];[1.0, 0.013289036544850499, 0.0, 0.0, 0.0];[0, 0, None, None, None]
14;2;Greedy;[33, 32];[1.0, 0.9933554817275747];[0, 1]
14;3;Greedy;[33, 32, 43];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
14;4;Greedy;[33, 32, 43, 44];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9900332225913622];[0, 1, 1, 2]
14;5;Greedy;[33, 32, 43, 44, 6];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9900332225913622, 0.973421926910299];[0, 1, 1, 2, 7]
15;2;Greedy;[35, 30];[1.0, 0.9933554817275747];[0, 1]
15;3;Greedy;[35, 30, 33];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
15;4;Greedy;[35, 30, 33, 34];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1]
15;5;Greedy;[35, 30, 33, 34, 43];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1, 1]
16;2;Greedy;[36, 25];[1.0, 0.9933554817275747];[0, 1]
16;3;Greedy;[36, 25, 37];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
16;4;Greedy;[36, 25, 37, 26];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9900332225913622];[0, 1, 1, 2]
16;5;Greedy;[36, 25, 37, 26, 48];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9900332225913622, 0.9900332225913622];[0, 1, 1, 2, 2]
17;2;Greedy;[2, 3];[1.0, 0.88];[1, 36]
17;3;Greedy;[2, 3, 1];[1.0, 0.88, 0.01];[1, 36, 0]
17;4;Greedy;[2, 3, 1, 4];[1.0, 0.88, 0.01, 0.0];[1, 36, 0, None]
17;5;Greedy;[2, 3, 1, 4, 5];[1.0, 0.88, 0.01, 0.0, 0.0];[1, 36, 0, None, None]
18;2;Greedy;[20, 40];[1.0, 0.9966777408637874];[0, 0]
18;3;Greedy;[20, 40, 3];[1.0, 0.9966777408637874, 0.9933554817275747];[0, 0, 1]
18;4;Greedy;[20, 40, 3, 2];[1.0, 0.9966777408637874, 0.9933554817275747, 0.9867109634551495];[0, 0, 1, 3]
18;5;Greedy;[20, 40, 3, 2, 4];[1.0, 0.9966777408637874, 0.9933554817275747, 0.9867109634551495, 0.9335548172757475];[0, 0, 1, 3, 19]
19;2;Greedy;[18, 42];[1.0, 0.9966666666666667];[1, 1]
19;3;Greedy;[18, 42, 19];[1.0, 0.9966666666666667, 0.99];[1, 1, 3]
19;4;Greedy;[18, 42, 19, 41];[1.0, 0.9966666666666667, 0.99, 0.99];[1, 1, 3, 3]
19;5;Greedy;[18, 42, 19, 41, 5];[1.0, 0.9966666666666667, 0.99, 0.99, 0.9866666666666667];[1, 1, 3, 3, 4]
20;2;Greedy;[34, 33];[1.0, 0.9933554817275747];[0, 1]
20;3;Greedy;[34, 33, 43];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
20;4;Greedy;[34, 33, 43, 44];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9900332225913622];[0, 1, 1, 2]
20;5;Greedy;[34, 33, 43, 44, 32];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9900332225913622, 0.9833887043189369];[0, 1, 1, 2, 4]
21;2;Greedy;[44, 6];[1.0, 0.9833333333333333];[1, 5]
21;3;Greedy;[44, 6, 43];[1.0, 0.9833333333333333, 0.006666666666666667];[1, 5, 0]
21;4;Greedy;[44, 6, 43, 1];[1.0, 0.9833333333333333, 0.006666666666666667, 0.0];[1, 5, 0, None]
21;5;Greedy;[44, 6, 43, 1, 2];[1.0, 0.9833333333333333, 0.006666666666666667, 0.0, 0.0];[1, 5, 0, None, None]
22;2;Greedy;[45, 31];[1.0, 0.9933554817275747];[0, 1]
22;3;Greedy;[45, 31, 44];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
22;4;Greedy;[45, 31, 44, 46];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1]
22;5;Greedy;[45, 31, 44, 46, 6];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747, 0.9800664451827242];[0, 1, 1, 1, 5]
23;2;Greedy;[47, 8];[1.0, 0.9933554817275747];[0, 1]
23;3;Greedy;[47, 8, 7];[1.0, 0.9933554817275747, 0.9235880398671097];[0, 1, 22]
23;4;Greedy;[47, 8, 7, 6];[1.0, 0.9933554817275747, 0.9235880398671097, 0.8637873754152824];[0, 1, 22, 40]
23;5;Greedy;[47, 8, 7, 6, 46];[1.0, 0.9933554817275747, 0.9235880398671097, 0.8637873754152824, 0.019933554817275746];[0, 1, 22, 40, 0]
24;2;Greedy;[8, 7];[1.0, 0.9933554817275747];[0, 1]
24;3;Greedy;[8, 7, 6];[1.0, 0.9933554817275747, 0.9368770764119602];[0, 1, 18]
24;4;Greedy;[8, 7, 6, 1];[1.0, 0.9933554817275747, 0.9368770764119602, 0.0];[0, 1, 18, None]
24;5;Greedy;[8, 7, 6, 1, 2];[1.0, 0.9933554817275747, 0.9368770764119602, 0.0, 0.0];[0, 1, 18, None, None]
25;2;Greedy;[48, 26];[1.0, 0.9933554817275747];[0, 1]
25;3;Greedy;[48, 26, 47];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
25;4;Greedy;[48, 26, 47, 9];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9867109634551495];[0, 1, 1, 3]
25;5;Greedy;[48, 26, 47, 9, 10];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9867109634551495, 0.9867109634551495];[0, 1, 1, 3, 3]
26;2;Greedy;[29, 30];[1.0, 0.99];[1, 3]
26;3;Greedy;[29, 30, 35];[1.0, 0.99, 0.99];[1, 3, 3]
26;4;Greedy;[29, 30, 35, 31];[1.0, 0.99, 0.99, 0.9866666666666667];[1, 3, 3, 4]
26;5;Greedy;[29, 30, 35, 31, 34];[1.0, 0.99, 0.99, 0.9866666666666667, 0.9866666666666667];[1, 3, 3, 4, 4]
27;2;Greedy;[49, 24];[1.0, 0.9933554817275747];[0, 1]
27;3;Greedy;[49, 24, 25];[1.0, 0.9933554817275747, 0.9900332225913622];[0, 1, 2]
27;4;Greedy;[49, 24, 25, 37];[1.0, 0.9933554817275747, 0.9900332225913622, 0.9900332225913622];[0, 1, 2, 2]
27;5;Greedy;[49, 24, 25, 37, 26];[1.0, 0.9933554817275747, 0.9900332225913622, 0.9900332225913622, 0.9833887043189369];[0, 1, 2, 2, 4]
28;2;Greedy;[10, 1];[1.0, 0.0];[0, None]
28;3;Greedy;[10, 1, 2];[1.0, 0.0, 0.0];[0, None, None]
28;4;Greedy;[10, 1, 2, 3];[1.0, 0.0, 0.0, 0.0];[0, None, None, None]
28;5;Greedy;[10, 1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0, 0.0];[0, None, None, None, None]
29;2;Greedy;[50, 38];[1.0, 0.9933554817275747];[0, 1]
29;3;Greedy;[50, 38, 37];[1.0, 0.9933554817275747, 0.013289036544850499];[0, 1, 0]
29;4;Greedy;[50, 38, 37, 1];[1.0, 0.9933554817275747, 0.013289036544850499, 0.0];[0, 1, 0, None]
29;5;Greedy;[50, 38, 37, 1, 2];[1.0, 0.9933554817275747, 0.013289036544850499, 0.0, 0.0];[0, 1, 0, None, None]
30;2;Greedy;[38, 1];[1.0, 0.0];[0, None]
30;3;Greedy;[38, 1, 2];[1.0, 0.0, 0.0];[0, None, None]
30;4;Greedy;[38, 1, 2, 3];[1.0, 0.0, 0.0, 0.0];[0, None, None, None]
30;5;Greedy;[38, 1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0, 0.0];[0, None, None, None, None]
31;2;Greedy;[15, 54];[1.0, 0.9966666666666667];[1, 1]
31;3;Greedy;[15, 54, 53];[1.0, 0.9966666666666667, 0.9933333333333333];[1, 1, 2]
31;4;Greedy;[15, 54, 53, 55];[1.0, 0.9966666666666667, 0.9933333333333333, 0.9933333333333333];[1, 1, 2, 2]
31;5;Greedy;[15, 54, 53, 55, 51];[1.0, 0.9966666666666667, 0.9933333333333333, 0.9933333333333333, 0.99];[1, 1, 2, 2, 3]
32;2;Greedy;[23, 24];[1.0, 0.9933333333333333];[1, 2]
32;3;Greedy;[23, 24, 49];[1.0, 0.9933333333333333, 0.9933333333333333];[1, 2, 2]
32;4;Greedy;[23, 24, 49, 25];[1.0, 0.9933333333333333, 0.9933333333333333, 0.9866666666666667];[1, 2, 2, 4]
32;5;Greedy;[23, 24, 49, 25, 37];[1.0, 0.9933333333333333, 0.9933333333333333, 0.9866666666666667, 0.9866666666666667];[1, 2, 2, 4, 4]
33;2;Greedy;[51, 52];[1.0, 0.9966777408637874];[0, 0]
33;3;Greedy;[51, 52, 38];[1.0, 0.9966777408637874, 0.9933554817275747];[0, 0, 1]
33;4;Greedy;[51, 52, 38, 50];[1.0, 0.9966777408637874, 0.9933554817275747, 0.9933554817275747];[0, 0, 1, 1]
33;5;Greedy;[51, 52, 38, 50, 23];[1.0, 0.9966777408637874, 0.9933554817275747, 0.9933554817275747, 0.9867109634551495];[0, 0, 1, 1, 3]
34;2;Greedy;[53, 51];[1.0, 0.9933554817275747];[0, 1]
34;3;Greedy;[53, 51, 52];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
34;4;Greedy;[53, 51, 52, 55];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1]
34;5;Greedy;[53, 51, 52, 55, 38];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747, 0.9833887043189369];[0, 1, 1, 1, 4]
35;2;Greedy;[56, 55];[1.0, 0.009966777408637873];[0, 0]
35;3;Greedy;[56, 55, 1];[1.0, 0.009966777408637873, 0.0];[0, 0, None]
35;4;Greedy;[56, 55, 1, 2];[1.0, 0.009966777408637873, 0.0, 0.0];[0, 0, None, None]
35;5;Greedy;[56, 55, 1, 2, 3];[1.0, 0.009966777408637873, 0.0, 0.0, 0.0];[0, 0, None, None, None]
36;2;Greedy;[12, 57];[1.0, 0.9966777408637874];[0, 0]
36;3;Greedy;[12, 57, 11];[1.0, 0.9966777408637874, 0.9933554817275747];[0, 0, 1]
36;4;Greedy;[12, 57, 11, 39];[1.0, 0.9966777408637874, 0.9933554817275747, 0.9933554817275747];[0, 0, 1, 1]
36;5;Greedy;[12, 57, 11, 39, 56];[1.0, 0.9966777408637874, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 0, 1, 1, 1]
37;2;Greedy;[1, 13];[1.0, 1.0];[0, 0]
37;3;Greedy;[1, 13, 14];[1.0, 1.0, 1.0];[0, 0, 0]
37;4;Greedy;[1, 13, 14, 58];[1.0, 1.0, 1.0, 1.0];[0, 0, 0, 0]
37;5;Greedy;[1, 13, 14, 58, 15];[1.0, 1.0, 1.0, 1.0, 0.9966666666666667];[0, 0, 0, 0, 1]
