Contaminant(Node);Sensor2(Link)_greedyonly;Sensor2(Link);Frequency2;score(Frequency*EigenVector)2;Coverage2;Sensor3(Link)__greedyonly;Sensor3(Link);Frequency3;score(Frequency*EigenVector)3;Coverage3;Sensor4(Link)__greedyonly;Sensor4(Link);Frequency4;score(Frequency*EigenVector)4;Coverage4;Sensor5(Link)__greedyonly;Sensor5(Link);Frequency5;score(Frequency*EigenVector)5;Coverage5
43;[63, 64];[63, 64];[61, 48];[0.2676, 0.1614];19;[63, 64, 65];[63, 64, 65];[61, 48, 29];[0.2676, 0.1614, 0.0748];26;[63, 64, 65, 61];[63, 64, 65, 61];[61, 48, 29, 21];[0.2676, 0.1614, 0.0748, 0.0645];31;[63, 64, 65, 61, 35];[63, 64, 65, 61, 62];[61, 48, 29, 21, 1];[0.2676, 0.1614, 0.0748, 0.0645, 0.0057];31
44;[68, 69];[69, 70];[58, 50];[14.3728, 9.4702];24;[68, 69, 70];[69, 70, 74];[58, 50, 26];[14.3728, 9.4702, 5.0756];38;[68, 69, 70, 66];[69, 70, 74, 73];[58, 50, 26, 12];[14.3728, 9.4702, 5.0756, 3.8669];41;[68, 69, 70, 66, 67];[69, 70, 74, 73, 75];[58, 50, 26, 12, 29];[14.3728, 9.4702, 5.0756, 3.8669, 3.2088];44
45;[69, 70];[69, 70];[60, 52];[14.8684, 9.849];24;[69, 70, 68];[69, 70, 74];[60, 52, 26];[14.8684, 9.849, 5.0756];38;[69, 70, 68, 65];[69, 70, 74, 73];[60, 52, 26, 12];[14.8684, 9.849, 5.0756, 3.8669];41;[69, 70, 68, 65, 46];[69, 70, 74, 73, 71];[60, 52, 26, 12, 15];[14.8684, 9.849, 5.0756, 3.8669, 3.554];44
46;[1, 2];[1, 2];[0, 0];[0.0, 0.0];124;[1, 2, 3];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[1, 2, 3, 4];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
47;[31, 160];[31, 1];[61, 0];[0.0182, 0.0];120;[31, 160, 1];[31, 1, 2];[61, 0, 0];[0.0182, 0.0, 0.0];124;[31, 160, 1, 2];[31, 1, 2, 3];[61, 0, 0, 0];[0.0182, 0.0, 0.0, 0.0];124;[31, 160, 1, 2, 3];[31, 1, 2, 3, 4];[61, 0, 0, 0, 0];[0.0182, 0.0, 0.0, 0.0, 0.0];124
48;[72, 39];[72, 80];[61, 14];[8.8307, 1.8697];17;[72, 39, 40];[72, 80, 58];[61, 14, 33];[8.8307, 1.8697, 0.0576];33;[72, 39, 40, 42];[72, 80, 58, 28];[61, 14, 33, 25];[8.8307, 1.8697, 0.0576, 0.0059];39;[72, 39, 40, 42, 58];[72, 80, 58, 28, 27];[61, 14, 33, 25, 20];[8.8307, 1.8697, 0.0576, 0.0059, 0.0041];45
49;[73, 78];[73, 79];[61, 60];[19.6567, 10.4844];27;[73, 78, 72];[73, 79, 72];[61, 60, 60];[19.6567, 10.4844, 8.6859];30;[73, 78, 72, 79];[73, 79, 72, 80];[61, 60, 60, 47];[19.6567, 10.4844, 8.6859, 6.2769];30;[73, 78, 72, 79, 39];[73, 79, 72, 80, 78];[61, 60, 60, 47, 61];[19.6567, 10.4844, 8.6859, 6.2769, 3.9429];32
50;[74, 73];[73, 74];[60, 61];[19.3345, 11.9082];34;[74, 73, 76];[73, 74, 77];[60, 61, 48];[19.3345, 11.9082, 10.8671];37;[74, 73, 76, 78];[73, 74, 77, 81];[60, 61, 48, 48];[19.3345, 11.9082, 10.8671, 10.1591];37;[74, 73, 76, 78, 77];[73, 74, 77, 81, 79];[60, 61, 48, 48, 40];[19.3345, 11.9082, 10.8671, 10.1591, 6.9896];37
51;[81, 77];[77, 81];[60, 61];[13.5838, 12.9105];22;[81, 77, 80];[77, 81, 80];[60, 61, 60];[13.5838, 12.9105, 8.0131];25;[81, 77, 80, 72];[77, 81, 80, 79];[60, 61, 60, 43];[13.5838, 12.9105, 8.0131, 7.5138];25;[81, 77, 80, 72, 39];[77, 81, 80, 79, 72];[60, 61, 60, 43, 47];[13.5838, 12.9105, 8.0131, 7.5138, 6.804];28
52;[79, 80];[79, 80];[60, 47];[10.4844, 6.2769];14;[79, 80, 72];[79, 80, 72];[60, 47, 33];[10.4844, 6.2769, 4.7772];17;[79, 80, 72, 39];[79, 80, 72, 77];[60, 47, 33, 18];[10.4844, 6.2769, 4.7772, 4.0751];28;[79, 80, 72, 39, 77];[79, 80, 72, 77, 39];[60, 47, 33, 18, 30];[10.4844, 6.2769, 4.7772, 4.0751, 0.0];36
53;[80, 72];[80, 72];[60, 47];[8.0131, 6.804];17;[80, 72, 39];[80, 72, 79];[60, 47, 14];[8.0131, 6.804, 2.4464];17;[80, 72, 39, 40];[80, 72, 79, 28];[60, 47, 14, 9];[8.0131, 6.804, 2.4464, 0.0021];25;[80, 72, 39, 40, 79];[80, 72, 79, 28, 27];[60, 47, 14, 9, 4];[8.0131, 6.804, 2.4464, 0.0021, 0.0008];31
54;[82, 44];[73, 69];[44, 48];[14.1786, 11.8947];28;[82, 44, 46];[73, 69, 74];[44, 48, 56];[14.1786, 11.8947, 10.9321];36;[82, 44, 46, 75];[73, 69, 74, 77];[44, 48, 56, 43];[14.1786, 11.8947, 10.9321, 9.7351];39;[82, 44, 46, 75, 43];[73, 69, 74, 77, 85];[44, 48, 56, 43, 38];[14.1786, 11.8947, 10.9321, 9.7351, 9.1962];45
55;[83, 87];[86, 87];[60, 61];[16.845, 13.0889];13;[83, 87, 82];[86, 87, 85];[60, 61, 50];[16.845, 13.0889, 12.1002];16;[83, 87, 82, 86];[86, 87, 85, 83];[60, 61, 50, 61];[16.845, 13.0889, 12.1002, 11.4429];16;[83, 87, 82, 86, 88];[86, 87, 85, 83, 73];[60, 61, 50, 61, 35];[16.845, 13.0889, 12.1002, 11.4429, 11.2784];32
56;[86, 85];[86, 85];[61, 60];[17.1258, 14.5203];16;[86, 85, 88];[86, 85, 88];[61, 60, 60];[17.1258, 14.5203, 9.8395];16;[86, 85, 88, 82];[86, 85, 88, 87];[61, 60, 60, 38];[17.1258, 14.5203, 9.8395, 8.1537];16;[86, 85, 88, 82, 44];[86, 85, 88, 87, 73];[61, 60, 60, 38, 24];[17.1258, 14.5203, 9.8395, 8.1537, 7.7338];32
57;[85, 88];[85, 86];[61, 38];[14.7623, 10.6685];16;[85, 88, 82];[85, 86, 73];[61, 38, 32];[14.7623, 10.6685, 10.3117];32;[85, 88, 82, 44];[85, 86, 73, 88];[61, 38, 32, 61];[14.7623, 10.6685, 10.3117, 10.0035];32;[85, 88, 82, 44, 66];[85, 86, 73, 88, 69];[61, 38, 32, 61, 33];[14.7623, 10.6685, 10.3117, 10.0035, 8.1776];34
58;[54, 90];[90, 89];[60, 35];[5.7475, 4.3867];12;[54, 90, 142];[90, 89, 54];[60, 35, 61];[5.7475, 4.3867, 0.0154];14;[54, 90, 142, 141];[90, 89, 54, 1];[60, 35, 61, 0];[5.7475, 4.3867, 0.0154, 0.0];120;[54, 90, 142, 141, 145];[90, 89, 54, 1, 2];[60, 35, 61, 0, 0];[5.7475, 4.3867, 0.0154, 0.0, 0.0];124
59;[104, 92];[95, 92];[29, 60];[7.5399, 5.923];16;[104, 92, 108];[95, 92, 96];[29, 60, 23];[7.5399, 5.923, 5.5539];17;[104, 92, 108, 94];[95, 92, 96, 93];[29, 60, 23, 41];[7.5399, 5.923, 5.5539, 3.0016];17;[104, 92, 108, 94, 93];[95, 92, 96, 93, 94];[29, 60, 23, 41, 42];[7.5399, 5.923, 5.5539, 3.0016, 2.35];17
60;[94, 93];[95, 96];[60, 54];[15.5999, 13.0395];7;[94, 93, 95];[95, 96, 93];[60, 54, 60];[15.5999, 13.0395, 4.3927];7;[94, 93, 95, 96];[95, 96, 93, 94];[60, 54, 60, 61];[15.5999, 13.0395, 4.3927, 3.4131];8;[94, 93, 95, 96, 102];[95, 96, 93, 94, 97];[60, 54, 60, 61, 41];[15.5999, 13.0395, 4.3927, 3.4131, 2.2941];9
61;[93, 95];[95, 96];[60, 54];[15.5999, 13.0395];7;[93, 95, 96];[95, 96, 93];[60, 54, 61];[15.5999, 13.0395, 4.4659];7;[93, 95, 96, 102];[95, 96, 93, 97];[60, 54, 61, 41];[15.5999, 13.0395, 4.4659, 2.2941];8;[93, 95, 96, 102, 97];[95, 96, 93, 97, 101];[60, 54, 61, 41, 37];[15.5999, 13.0395, 4.4659, 2.2941, 1.0722];9
62;[102, 96];[96, 97];[60, 47];[14.4884, 2.6298];8;[102, 96, 101];[96, 97, 101];[60, 47, 60];[14.4884, 2.6298, 1.7386];9;[102, 96, 101, 103];[96, 97, 101, 95];[60, 47, 60, 6];[14.4884, 2.6298, 1.7386, 1.56];9;[102, 96, 101, 103, 97];[96, 97, 101, 95, 98];[60, 47, 60, 6, 21];[14.4884, 2.6298, 1.7386, 1.56, 1.3631];10
63;[107, 97];[98, 96];[60, 14];[3.8946, 3.3806];9;[107, 97, 98];[98, 96, 97];[60, 14, 60];[3.8946, 3.3806, 3.3572];9;[107, 97, 98, 99];[98, 96, 97, 99];[60, 14, 60, 47];[3.8946, 3.3806, 3.3572, 2.3316];10;[107, 97, 98, 99, 105];[98, 96, 97, 99, 1];[60, 14, 60, 47, 0];[3.8946, 3.3806, 3.3572, 2.3316, 0.0];120
