NodeID;node_step0;node_step5;node_step10;node_step15;node_step20;node_step25;node_step30;node_step35;node_step40;node_step45;node_step50;node_step55;node_step60;node_step65;node_step70;node_step75;node_step80;node_step85;node_step90;node_step95;node_step100;node_step105;node_step110;node_step115;node_step120;node_step125;node_step130;node_step135;node_step140;node_step145;node_step150;node_step155;node_step160;node_step165;node_step170;node_step175;node_step180;node_step185;node_step190;node_step195;node_step200;node_step205;node_step210;node_step215;node_step220;node_step225;node_step230;node_step235;node_step240;node_step245;node_step250;node_step255;node_step260;node_step265;node_step270;node_step275;node_step280;node_step285;node_step290;node_step295;node_step300
11;[11];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113];[11, 113]
12;[12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12];[11, 12]
13;[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13];[13]
14;[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14];[14]
15;[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15];[15]
16;[16];[16];[16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[4, 16, 110, 111];[3, 4, 16, 110, 111];[3, 4, 16, 110, 111];[3, 4, 16, 110, 111];[3, 4, 16, 110, 111];[3, 4, 15, 16, 110, 111];[3, 4, 15, 16, 110, 111];[3, 4, 15, 16, 110, 111];[3, 4, 15, 16, 110, 111];[3, 4, 15, 16, 110, 111];[3, 4, 15, 16, 110, 111];[3, 4, 15, 16, 110, 111];[3, 4, 15, 16, 110, 111];[1, 3, 4, 15, 16, 110, 111];[1, 3, 4, 15, 16, 110, 111];[1, 3, 4, 15, 16, 110, 111];[1, 3, 4, 15, 16, 110, 111];[1, 3, 4, 15, 16, 110, 111];[1, 3, 4, 15, 16, 110, 111];[1, 3, 4, 15, 16, 18, 110, 111];[1, 3, 4, 15, 16, 18, 110, 111];[1, 3, 4, 15, 16, 18, 110, 111]
17;[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17];[17]
18;[18];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117];[18, 116, 117]
19;[19];[18, 19];[18, 19];[18, 19];[10, 18, 19];[10, 18, 19];[10, 18, 19];[10, 18, 19];[10, 18, 19];[10, 18, 19];[10, 18, 19];[9, 10, 18, 19, 116, 117];[9, 10, 18, 19, 116, 117];[9, 10, 18, 19, 116, 117];[9, 10, 18, 19, 116, 117];[9, 10, 18, 19, 116, 117];[7, 9, 10, 18, 19, 116, 117];[7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117];[5, 6, 7, 9, 10, 18, 19, 116, 117]
20;[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20];[20]
21;[21];[20, 21, 38];[20, 21, 38];[20, 21, 38];[20, 21, 38];[20, 21, 38];[20, 21, 38];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40];[20, 21, 38, 40, 114, 115];[20, 21, 38, 40, 114, 115];[20, 21, 38, 40, 114, 115];[20, 21, 38, 40, 114, 115];[20, 21, 38, 40, 114, 115];[19, 20, 21, 38, 40, 114, 115];[19, 20, 21, 38, 40, 114, 115];[19, 20, 21, 38, 40, 114, 115];[10, 19, 20, 21, 38, 40, 114, 115];[10, 19, 20, 21, 38, 40, 114, 115];[10, 19, 20, 21, 38, 40, 114, 115];[10, 19, 20, 21, 38, 40, 114, 115];[10, 19, 20, 21, 38, 40, 114, 115];[10, 19, 20, 21, 38, 40, 114, 115];[10, 18, 19, 20, 21, 38, 40, 114, 115];[9, 10, 18, 19, 20, 21, 38, 40, 114, 115];[9, 10, 18, 19, 20, 21, 38, 40, 114, 115];[9, 10, 18, 19, 20, 21, 38, 40, 114, 115];[9, 10, 18, 19, 20, 21, 38, 40, 114, 115];[7, 9, 10, 18, 19, 20, 21, 36, 38, 40, 114, 115];[7, 9, 10, 18, 19, 20, 21, 36, 38, 40, 114, 115];[7, 9, 10, 18, 19, 20, 21, 36, 38, 40, 114, 115];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 40, 114, 115];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 40, 114, 115];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[6, 7, 9, 10, 18, 19, 20, 21, 36, 38, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117];[5, 6, 7, 9, 10, 18, 19, 20, 21, 36, 114, 115, 116, 117]
